car_id,trip_id,flag,pickup_time,dropoff_time,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_bridge,duration,distance
2185,53,1,2007-02-20 13:33:31,2007-02-20 13:40:37,121.355,31.1855,121.4318,31.2186,True,426,10.98628560389008
2185,178,1,2007-02-20 20:26:43,2007-02-20 20:29:46,121.3823,31.1901,121.3916,31.2026,True,183,2.2745722769409653
2192,164,1,2007-02-20 19:49:44,2007-02-20 20:04:59,121.3423,31.1963,121.4715,31.229,True,915,15.925045840061808
2192,196,1,2007-02-20 21:29:09,2007-02-20 21:41:21,121.3468,31.1948,121.4393,31.222,True,732,11.822860652760305
2192,208,1,2007-02-20 22:30:24,2007-02-20 22:44:38,121.3421,31.1963,121.4765,31.2318,True,854,16.730994152718864
2195,56,1,2007-02-20 02:17:45,2007-02-20 02:23:51,121.3336,31.2258,121.287,31.2153,True,366,5.598564485691584
2196,214,1,2007-02-20 12:04:14,2007-02-20 12:05:14,121.3693,31.182,121.371,31.1763,True,60,0.7955325199004342
2202,59,1,2007-02-20 10:49:20,2007-02-20 10:51:22,121.3606,31.172,121.374,31.177,True,122,1.830854711938038
2202,189,1,2007-02-20 16:55:37,2007-02-20 16:58:59,121.3408,31.225,121.323,31.227,True,202,1.914938869876963
2202,205,1,2007-02-20 17:54:05,2007-02-20 18:26:04,121.3423,31.1965,121.5643,31.2666,True,1919,28.910442815117314
2202,328,1,2007-02-20 23:34:30,2007-02-20 23:36:31,121.3878,31.1998,121.3831,31.2055,True,121,1.080839207828496
2207,70,1,2007-02-20 09:59:48,2007-02-20 10:23:27,121.3458,31.1955,121.5123,31.3028,True,1419,27.768143005352336
2207,152,1,2007-02-20 16:36:42,2007-02-20 16:45:51,121.3423,31.1963,121.4245,31.2123,True,549,9.597644454067126
2207,203,1,2007-02-20 19:07:10,2007-02-20 19:42:56,121.3421,31.1963,121.5803,31.2625,True,2146,30.01770374904424
2210,20,1,2007-02-20 00:48:27,2007-02-20 00:49:27,121.344,31.1563,121.336,31.1523,True,60,1.2060282826723143
2210,47,1,2007-02-20 05:20:08,2007-02-20 05:26:14,121.3461,31.1573,121.389,31.1611,True,366,4.504693110354765
2210,60,1,2007-02-20 06:05:55,2007-02-20 06:17:06,121.3348,31.1745,121.4056,31.2475,True,671,14.852985275858252
2210,103,1,2007-02-20 10:13:11,2007-02-20 10:19:34,121.3835,31.196,121.4338,31.2173,True,383,7.152796117884537
2210,120,1,2007-02-20 10:48:14,2007-02-20 11:02:28,121.3588,31.1678,121.4031,31.0525,True,854,17.03567739272904
2210,179,1,2007-02-20 14:10:49,2007-02-20 14:13:52,121.3575,31.1706,121.3728,31.1391,True,183,4.958308362734962
2210,187,1,2007-02-20 14:51:05,2007-02-20 14:54:08,121.3625,31.181,121.3758,31.1773,True,183,1.6766670186924766
2210,196,1,2007-02-20 15:19:35,2007-02-20 15:24:39,121.3888,31.198,121.4295,31.2163,True,304,5.906014131242836
2210,276,1,2007-02-20 19:33:45,2007-02-20 19:37:49,121.3596,31.183,121.375,31.1771,True,244,2.1210405595450625
2210,286,1,2007-02-20 19:56:46,2007-02-20 20:04:54,121.3775,31.1926,121.4136,31.2426,True,488,8.993564054467292
2210,366,1,2007-02-20 22:37:04,2007-02-20 22:43:10,121.3743,31.1886,121.3863,31.1613,True,366,4.177104999274599
2210,374,1,2007-02-20 23:04:59,2007-02-20 23:07:00,121.369,31.175,121.3873,31.1811,True,121,2.419301470563717
2210,380,1,2007-02-20 23:30:32,2007-02-20 23:31:32,121.3688,31.175,121.38,31.1783,True,60,1.4324809134395986
2641,172,1,2007-02-20 18:05:18,2007-02-20 18:12:53,121.3585,31.2196,121.3878,31.2618,True,455,7.478634852748183
2641,203,1,2007-02-20 19:49:56,2007-02-20 19:56:01,121.3838,31.1965,121.384,31.1655,True,365,3.4660658629197005
2641,233,1,2007-02-20 20:47:04,2007-02-20 20:55:10,121.345,31.1818,121.37,31.1598,True,486,4.8245498468029
2641,250,1,2007-02-20 21:31:31,2007-02-20 21:40:40,121.3513,31.1628,121.3901,31.095,True,549,11.230818350306864
2641,261,1,2007-02-20 22:06:23,2007-02-20 22:14:30,121.3431,31.1645,121.387,31.181,True,487,6.011706333816107
2949,92,1,2007-02-20 10:55:05,2007-02-20 10:56:06,121.387,31.201,121.389,31.2016,True,61,0.25693927759153523
2949,254,1,2007-02-20 20:47:07,2007-02-20 20:48:08,121.3733,31.2126,121.3716,31.216,True,61,0.5397318946868472
3202,224,1,2007-02-20 17:32:37,2007-02-20 17:36:41,121.3541,31.1851,121.3925,31.2003,True,244,5.343045141509402
3203,295,1,2007-02-20 18:03:23,2007-02-20 18:04:23,121.3765,31.186,121.3791,31.183,True,60,0.5809129990950119
3206,245,1,2007-02-20 13:13:27,2007-02-20 13:28:16,121.3423,31.1963,121.4808,31.2325,True,889,17.19880565871449
3206,418,1,2007-02-20 22:38:31,2007-02-20 22:46:38,121.343,31.1725,121.3768,31.159,True,487,4.716856810551534
