car_id,trip_id,flag,pickup_time,dropoff_time,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_bridge,duration,distance
105,244,1,2007-02-20 13:29:36,2007-02-20 13:30:37,121.4453,31.2596,121.4453,31.2598,False,61,0.022238985329136707
105,245,1,2007-02-20 13:31:38,2007-02-20 13:37:43,121.4428,31.2596,121.4033,31.214,False,365,8.825050385101761
105,246,1,2007-02-20 13:38:45,2007-02-20 13:39:45,121.3998,31.2128,121.3958,31.2135,False,60,0.4582336301710787
105,247,1,2007-02-20 13:40:46,2007-02-20 13:42:48,121.3946,31.2138,121.3803,31.216,False,122,1.6045343797423381
105,252,1,2007-02-20 13:52:06,2007-02-20 13:58:39,121.3996,31.2158,121.4101,31.2016,False,393,2.5774788781275153
105,266,1,2007-02-20 14:17:58,2007-02-20 14:22:02,121.4316,31.1818,121.421,31.1931,False,244,2.2648855321444996
105,270,1,2007-02-20 14:31:01,2007-02-20 14:34:03,121.4338,31.1908,121.44,31.1826,False,182,1.501551165843699
105,272,1,2007-02-20 14:36:05,2007-02-20 14:43:12,121.4548,31.1901,121.4825,31.1596,False,427,6.026327914679978
105,276,1,2007-02-20 14:47:16,2007-02-20 15:10:39,121.481,31.1543,121.7973,31.1625,False,1403,31.010288914216883
105,283,1,2007-02-20 15:36:13,2007-02-20 15:47:24,121.6861,31.1943,121.6401,31.2205,False,671,7.288730269635279
105,285,1,2007-02-20 15:50:27,2007-02-20 15:51:28,121.6346,31.2171,121.6401,31.2203,False,61,0.8788461031926638
105,287,1,2007-02-20 15:53:30,2007-02-20 15:54:31,121.6501,31.2136,121.6565,31.2033,False,61,1.753938085495155
105,289,1,2007-02-20 15:56:33,2007-02-20 15:59:36,121.6655,31.1978,121.6855,31.1968,False,183,2.0134824810511778
105,292,1,2007-02-20 16:02:03,2007-02-20 16:05:06,121.6851,31.1985,121.6946,31.191,False,183,1.7375418539489917
105,301,1,2007-02-20 16:16:52,2007-02-20 16:22:58,121.6823,31.2011,121.7,31.1916,False,366,2.739817568050883
105,304,1,2007-02-20 16:24:37,2007-02-20 16:25:38,121.6971,31.1896,121.6881,31.1871,False,61,1.1340908979485427
105,307,1,2007-02-20 16:30:43,2007-02-20 16:32:44,121.6875,31.1891,121.6843,31.2011,False,121,1.6387331123414142
105,308,1,2007-02-20 16:33:45,2007-02-20 16:36:48,121.6773,31.2001,121.65,31.1943,False,183,3.2414899596001145
105,310,1,2007-02-20 16:38:50,2007-02-20 16:51:02,121.634,31.1898,121.5953,31.243,False,732,9.596807700437934
105,312,1,2007-02-20 16:53:04,2007-02-20 16:56:07,121.586,31.2506,121.5698,31.2453,False,183,2.129325500231899
105,318,1,2007-02-20 17:06:02,2007-02-20 17:07:02,121.5321,31.2311,121.5341,31.2251,False,60,0.8573313317662011
105,320,1,2007-02-20 17:12:07,2007-02-20 17:14:09,121.5458,31.2126,121.5515,31.2061,False,122,1.2648341533342697
105,322,1,2007-02-20 17:16:11,2007-02-20 17:17:12,121.5515,31.2058,121.5548,31.198,False,61,1.1811713322587147
105,325,1,2007-02-20 17:19:41,2007-02-20 17:20:42,121.5563,31.1981,121.5525,31.202,False,61,0.7950937036999324
