airport_distance,common_distance
1.010203874,0.566149437
9.506668249,1.221228114
13.7091243,1.182244945
0.72930112,3.296919457
1.363486536,1.411496182
1.912853323,1.052926468
10.59238899,0.782738698
2.179472182,11.92164499
4.900685542,0.454098726
1.653888424,2.430509603
10.11419717,15.17302398
9.488493118,8.466736362
1.222473105,3.667908213
6.866526507,2.330763904
15.50565273,0.97510572
1.206009807,0.43444017
4.31888404,3.191229272
1.491156282,12.13613001
3.353299142,0.409060972
28.09319743,1.179396703
2.979171991,0.541047123
12.75562483,5.573898744
4.25798835,0.315667476
3.508590898,5.096548107
3.296229829,1.048888981
3.069516913,0.32670594
3.513796492,13.47332302
8.310928977,0.180497875
5.42674607,1.973959455
4.695496796,0.476281389
11.70804057,0.663943563
2.962487479,6.337800662
1.405638313,2.01062405
5.378349998,2.833491894
9.546991081,2.311569564
20.71748825,1.506391693
5.175746025,0.315703165
18.67065117,2.113756166
7.030222291,0.457182213
1.747438813,3.72335976
2.184891062,1.511876205
3.193740779,0.033358478
26.14267617,0.022238985
0.355098839,8.825050385
0.790505103,0.45823363
1.439368769,1.60453438
2.862261122,2.577478878
1.189149803,2.264885532
12.39337608,1.501551166
19.0169424,6.026327915
3.265334796,31.01028891
3.258512584,7.28873027
2.036773713,0.878846103
0.949086665,1.753938085
1.721246221,2.013482481
10.9862856,1.737541854
2.274572277,2.739817568
15.92504584,1.134090898
11.82286065,1.638733112
16.73099415,3.24148996
5.598564486,9.5968077
0.79553252,2.1293255
1.830854712,0.857331332
1.91493887,1.264834153
28.91044282,1.181171332
1.080839208,0.795093704
27.76814301,0.452537873
9.597644454,0.643016759
30.01770375,0.361954747
1.206028283,0.947973128
4.50469311,5.119176999
14.85298528,0.343938881
7.152796118,7.571683114
17.03567739,0.522189012
4.958308363,3.15982614
1.676667019,2.103147761
5.906014131,0.90629054
2.12104056,0.35889509
8.993564054,0.163572258
4.177104999,0.448838962
2.419301471,0.696365351
1.432480913,0.531816098
7.478634853,7.050587934
3.466065863,1.251316796
4.824549847,0.472447985
11.23081835,4.189944079
6.011706334,8.095681299
0.256939278,15.16243558
0.539731895,1.895590712
5.343045142,0.868199702
0.580912999,3.424056529
17.19880566,1.380877816
4.716856811,0.279119927
