car_id,timesum
105,852
106,0
107,0
113,671
117,61
129,0
136,305
137,0
157,2157
167,373
170,0
554,1656
874,0
1394,611
1504,0
1534,305
2098,1280
2100,0
2101,3156
2106,1647
2108,0
2122,121
2123,305
2127,0
2128,1830
2129,854
2131,4772
2137,0
2167,854
2173,123
2174,732
2176,0
2181,0
2183,121
2185,609
2192,2501
2193,0
2195,366
2196,60
2202,2364
2207,4114
2208,0
2210,4283
2447,0
2641,2342
2949,122
3202,244
3203,60
3205,0
3206,1376
